plane u v typecode idx captureblock slink captureblockidx fedid zside
1 6 7 ML-F3W 9 1 1 0 98 -1
1 6 8 ML-F3W 6 1 1 0 98 -1
1 6 9 ML-F3W 1 1 1 0 146 -1
1 6 10 ML-53W 8 0 0 0 109 -1
1 7 -3 ML-T3W 3 1 1 0 482 -1
1 7 -2 ML-F3W 10 0 0 0 481 -1
1 7 -1 ML-F3W 5 0 0 0 481 -1
1 7 0 ML-F3W 9 0 0 0 61 -1
1 7 1 ML-F3W 9 1 1 0 14 -1
1 7 2 ML-F3W 5 1 1 0 14 -1
1 7 3 ML-F3W 11 0 0 0 61 -1
1 7 4 ML-F3W 0 1 1 0 14 -1
1 7 5 ML-F3W 8 0 0 0 13 -1
1 7 6 ML-F3W 4 0 0 0 13 -1
1 7 7 ML-F3W 9 0 0 0 145 -1
1 7 8 ML-F3W 10 1 1 0 98 -1
1 7 9 ML-F3W 7 1 1 0 98 -1
1 7 10 ML-B3W 2 1 1 0 146 -1
1 8 -1 ML-T3W 6 0 0 0 481 -1
1 8 0 ML-F3W 10 0 0 0 61 -1
1 8 1 ML-F3W 10 1 1 0 14 -1
1 8 2 ML-F3W 6 1 1 0 14 -1
1 8 3 ML-F3W 0 1 1 0 62 -1
1 8 4 ML-F3W 3 0 0 0 25 -1
1 8 5 ML-F3W 1 1 1 0 14 -1
1 8 6 ML-F3W 9 0 0 0 13 -1
1 8 7 ML-F3W 5 0 0 0 13 -1
1 8 8 ML-F3W 10 0 0 0 145 -1
1 8 9 ML-F3W 11 1 1 0 98 -1
1 9 1 ML-F3W 11 1 1 0 14 -1
1 9 2 ML-F3W 7 1 1 0 14 -1
1 9 3 ML-F3W 1 1 1 0 62 -1
1 9 4 ML-F3W 4 0 0 0 25 -1
1 9 5 ML-F3W 5 0 0 0 25 -1
1 9 6 ML-F3W 2 1 1 0 14 -1
1 9 7 ML-F3W 10 0 0 0 13 -1
1 9 8 ML-T3W 6 0 0 0 13 -1
1 10 3 ML-B3W 2 1 1 0 62 -1
1 10 4 ML-53W 6 0 0 0 25 -1
1 10 5 ML-R3W 7 0 0 0 25 -1
1 10 6 ML-53W 8 0 0 0 25 -1
1 10 7 ML-T3W 3 1 1 0 14 -1
2 -10 -6 ML-R3W 4 1 1 0 326 -1
2 -10 -5 ML-L3W 3 1 1 0 326 -1
2 -10 -4 ML-L3W 1 1 1 0 326 -1
2 -9 -8 ML-T3W 10 1 1 0 314 -1
2 -9 -7 ML-F3W 6 1 1 0 314 -1
2 -9 -6 ML-F3W 5 0 0 0 277 -1
2 -9 -5 ML-F3W 2 1 1 0 326 -1
2 -9 -4 ML-F3W 0 1 1 0 326 -1
2 -9 -3 ML-F3W 2 1 1 0 314 -1
2 -9 -2 ML-F3W 10 0 0 0 313 -1
2 -9 -1 ML-B3W 6 0 0 0 313 -1
2 -8 -9 ML-B3W 6 0 0 0 229 -1
2 -8 -8 ML-F3W 10 0 0 0 325 -1
2 -8 -7 ML-F3W 9 1 1 0 314 -1
2 -8 -6 ML-F3W 5 1 1 0 314 -1
2 -8 -5 ML-F3W 4 0 0 0 277 -1
2 -8 -4 ML-F3W 11 0 0 0 325 -1
2 -8 -3 ML-F3W 1 1 1 0 314 -1
2 -8 -2 ML-F3W 9 0 0 0 313 -1
2 -8 -1 ML-F3W 5 0 0 0 313 -1
2 -7 -9 ML-F3W 10 0 0 0 229 -1
2 -7 -8 ML-F3W 5 0 0 0 229 -1
2 -7 -7 ML-F3W 9 0 0 0 325 -1
2 -7 -6 ML-F3W 8 1 1 0 314 -1
2 -7 -5 ML-F3W 4 1 1 0 314 -1
2 -7 -4 ML-F3W 3 0 0 0 277 -1
2 -7 -3 ML-F3W 0 1 1 0 314 -1
2 -7 -2 ML-F3W 8 0 0 0 313 -1
2 -7 -1 ML-F3W 4 0 0 0 313 -1
2 -6 -10 ML-L3W 4 1 1 0 242 -1
2 -6 -9 ML-F3W 2 1 1 0 230 -1
2 -6 -8 ML-F3W 9 0 0 0 229 -1
2 -6 -7 ML-F3W 4 0 0 0 229 -1
2 -6 -6 ML-F3W 8 0 0 0 325 -1
2 -6 -5 ML-F3W 7 1 1 0 314 -1
2 -6 -4 ML-F3W 3 1 1 0 314 -1
2 -6 -3 ML-F3W 11 0 0 0 313 -1
2 -6 -2 ML-F3W 7 0 0 0 313 -1
2 -6 -1 ML-F3W 3 0 0 0 313 -1
2 -5 -10 ML-L3W 3 1 1 0 242 -1
2 -5 -9 ML-F3W 1 1 1 0 242 -1
2 -5 -8 ML-F3W 1 1 1 0 230 -1
2 -5 -7 ML-F3W 8 0 0 0 229 -1
2 -5 -6 ML-F3W 3 0 0 0 229 -1
2 -5 -5 ML-F3W 7 0 0 0 325 -1
2 -5 -4 MH-F2W 2 0 0 0 313 -1
2 -5 -3 MH-F2W 1 0 0 0 313 -1
2 -5 -2 MH-F2W 2 0 0 0 277 -1
2 -5 -1 MH-F2W 6 0 0 0 325 -1
2 -4 -10 ML-R3W 2 1 1 0 242 -1
2 -4 -9 ML-F3W 0 1 1 0 242 -1
2 -4 -8 ML-F3W 11 0 0 0 241 -1
2 -4 -7 ML-F3W 0 1 1 0 230 -1
2 -4 -6 ML-F3W 7 0 0 0 229 -1
2 -4 -5 MH-F2W 6 0 0 0 241 -1
2 -4 -4 MH-F2W 2 0 0 0 325 -1
2 -4 -3 MH-F2W 0 0 0 0 313 -1
2 -4 -2 MH-F2W 1 0 0 0 277 -1
2 -4 -1 MH-F2W 5 0 0 0 325 -1
2 -3 -9 ML-F3W 5 2 0 1 205 -1
2 -3 -8 ML-F3W 4 2 0 1 205 -1
2 -3 -7 ML-F3W 3 2 0 1 205 -1
2 -3 -6 ML-F3W 11 0 0 0 229 -1
2 -3 -5 MH-F2W 2 2 0 1 205 -1
2 -3 -4 MH-F2W 5 0 0 0 241 -1
2 -3 -3 MH-F2W 1 0 0 0 325 -1
2 -3 -2 MH-F1W 0 0 0 0 277 -1
2 -3 -1 MH-F1W 4 0 0 0 325 -1
2 -2 -9 ML-F3W 6 1 1 0 230 -1
2 -2 -8 ML-F3W 5 1 1 0 230 -1
2 -2 -7 ML-F3W 4 1 1 0 230 -1
2 -2 -6 ML-F3W 3 1 1 0 230 -1
2 -2 -5 MH-F2W 2 0 0 0 229 -1
2 -2 -4 MH-F2W 1 2 0 1 205 -1
2 -2 -3 MH-F1W 4 0 0 0 241 -1
2 -2 -2 MH-B1W 0 0 0 0 325 -1
2 -2 -1 MH-R1W 3 0 0 0 325 -1
2 -1 -9 ML-T3W 10 1 1 0 230 -1
2 -1 -8 ML-F3W 9 1 1 0 230 -1
2 -1 -7 ML-F3W 8 1 1 0 230 -1
2 -1 -6 ML-F3W 7 1 1 0 230 -1
2 -1 -5 MH-F2W 1 0 0 0 229 -1
2 -1 -4 MH-F2W 0 0 0 0 229 -1
2 -1 -3 MH-F1W 0 2 0 1 205 -1
2 -1 -2 MH-R1W 3 0 0 0 241 -1
2 0 -8 ML-F3W 10 0 0 0 241 -1
2 0 -7 ML-F3W 9 0 0 0 241 -1
2 0 -6 ML-F3W 8 0 0 0 241 -1
2 0 -5 ML-F3W 7 0 0 0 241 -1
2 0 -4 MH-F2W 2 0 0 0 241 -1
2 0 -3 MH-F2W 1 0 0 0 241 -1
2 0 -2 MH-B1W 0 0 0 0 241 -1
2 1 -8 ML-B3W 6 0 0 0 505 -1
2 1 -7 ML-F3W 5 0 0 0 505 -1
2 1 -6 ML-F3W 4 0 0 0 505 -1
2 1 -5 ML-F3W 3 0 0 0 505 -1
2 1 -4 MH-F2W 6 0 0 0 517 -1
2 1 -3 MH-F2W 5 0 0 0 517 -1
2 1 -2 MH-F1W 4 0 0 0 517 -1
2 1 -1 MH-R1W 3 0 0 0 517 -1
2 1 2 MH-R1W 3 0 0 0 133 -1
2 1 3 MH-F1W 4 0 0 0 133 -1
2 1 4 MH-F2W 5 0 0 0 133 -1
2 1 5 MH-F2W 6 0 0 0 133 -1
2 1 6 ML-F3W 3 0 0 0 121 -1
2 1 7 ML-F3W 4 0 0 0 121 -1
2 1 8 ML-F3W 5 0 0 0 121 -1
2 1 9 ML-B3W 6 0 0 0 121 -1
2 2 -7 ML-F3W 10 0 0 0 505 -1
2 2 -6 ML-F3W 9 0 0 0 505 -1
2 2 -5 ML-F3W 8 0 0 0 505 -1
2 2 -4 ML-F3W 7 0 0 0 505 -1
2 2 -3 MH-F2W 2 0 0 0 469 -1
2 2 -2 MH-F2W 1 0 0 0 469 -1
2 2 -1 MH-F1W 0 0 0 0 469 -1
2 2 0 MH-B1W 0 0 0 0 49 -1
2 2 0 MH-B1W 0 0 0 0 517 -1
2 2 1 MH-R1W 3 0 0 0 49 -1
2 2 1 MH-R1W 3 0 0 0 433 -1
2 2 2 MH-B1W 0 0 0 0 433 -1
2 2 2 MH-B1W 0 0 0 0 133 -1
2 2 3 MH-F1W 0 0 0 0 85 -1
2 2 4 MH-F2W 1 0 0 0 85 -1
2 2 5 MH-F2W 2 0 0 0 85 -1
2 2 6 ML-F3W 7 0 0 0 121 -1
2 2 7 ML-F3W 8 0 0 0 121 -1
2 2 8 ML-F3W 9 0 0 0 121 -1
2 2 9 ML-F3W 10 0 0 0 121 -1
2 3 -6 ML-F3W 2 1 1 0 506 -1
2 3 -5 ML-F3W 1 1 1 0 506 -1
2 3 -4 ML-F3W 0 1 1 0 506 -1
2 3 -3 ML-F3W 11 0 0 0 505 -1
2 3 -2 MH-F2W 1 0 0 0 505 -1
2 3 -1 MH-F2W 0 0 0 0 505 -1
2 3 0 MH-F2W 1 0 0 0 49 -1
2 3 0 MH-F2W 1 0 0 0 517 -1
2 3 1 MH-F1W 0 2 0 1 13 -1
2 3 1 MH-F1W 4 0 0 0 433 -1
2 3 2 MH-F1W 0 2 0 1 397 -1
2 3 2 MH-F1W 4 0 0 0 49 -1
2 3 3 MH-F2W 1 0 0 0 433 -1
2 3 3 MH-F2W 1 0 0 0 133 -1
2 3 4 MH-F2W 0 0 0 0 121 -1
2 3 5 MH-F2W 1 0 0 0 121 -1
2 3 6 ML-F3W 11 0 0 0 121 -1
2 3 7 ML-F3W 0 1 1 0 122 -1
2 3 8 ML-F3W 1 1 1 0 122 -1
2 3 9 ML-F3W 2 1 1 0 122 -1
